"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE ROBRES","ce.codcentro":"22010611","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE SALLENT DE GÁLLEGO","ce.codcentro":"22010013","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE SARIÑENA","ce.codcentro":"22010670","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE SENA","ce.codcentro":"22010797","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE SODETO","ce.codcentro":"22010943","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE TORRENTE DE CINCA","ce.codcentro":"22010700","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE VILLANÚA","ce.codcentro":"22010608","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"EL PARQUE","ce.codcentro":"22004633","filtros":"1;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"EL PÍ","ce.codcentro":"22010116","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"EL TAMARINDO","ce.codcentro":"22010190","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"EL TRÉBOL","ce.codcentro":"22005741","filtros":"0;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"ENCANTARIA","ce.codcentro":"22010256","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"ESCUELA DE EDUCACIÓN INFANTIL DE BOLTAÑA","ce.codcentro":"22010955","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"ESCUELAS PÍAS","ce.codcentro":"22002703","filtros":"1;0;1","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"ESTADILLA-FONZ","ce.codcentro":"22005716","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"FRANCISCO GALIAY SARAÑANA","ce.codcentro":"22000706","filtros":"0;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"GUARDERIA INFANTIL DE LASPUÑA","ce.codcentro":"22600230","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"JOAQUÍN COSTA","ce.codcentro":"22002156","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"JOAQUÍN COSTA","ce.codcentro":"22003215","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"JOSÉ MANUEL BLECUA","ce.codcentro":"22000251","filtros":"0;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"JUAN XXIII","ce.codcentro":"22002302","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"KATIA ACÍN","ce.codcentro":"22010967","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"KID'S GARDEN HUESCA","ce.codcentro":"22010396","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA CANALLA","ce.codcentro":"22010359","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA CANTERA","ce.codcentro":"22010244","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA CASITA BLANCA","ce.codcentro":"22010581","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA COMETA","ce.codcentro":"22010104","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA FONTANETA","ce.codcentro":"22010293","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA FUEVA","ce.codcentro":"22002016","filtros":"1;1;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA LAGUNA","ce.codcentro":"22004104","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA LLITERA","ce.codcentro":"22005674","filtros":"0;1;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA MAINADA","ce.codcentro":"22010177","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA MAINADA","ce.codcentro":"22010311","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA MERCED","ce.codcentro":"22000731","filtros":"1;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA PAZ","ce.codcentro":"22600060","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LA SABINA","ce.codcentro":"22005856","filtros":"0;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LAS OCAS","ce.codcentro":"22010050","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LAS PAJARITAS","ce.codcentro":"22010463","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LITERA","ce.codcentro":"22001905","filtros":"0;1;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LO NIU","ce.codcentro":"22010062","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LOS ARAÑONES","ce.codcentro":"22001437","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"LUPITA","ce.codcentro":"22010271","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MARÍA MOLINER","ce.codcentro":"22010876","filtros":"1;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MIGUEL SERVET","ce.codcentro":"22001875","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MIGUEL SERVET","ce.codcentro":"22003926","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MIGUEL SERVET","ce.codcentro":"22004578","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MINTE","ce.codcentro":"22003276","filtros":"1;0;1","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MONEGROS NORTE","ce.codcentro":"22002843","filtros":"0;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MONEGROS-HOYA","ce.codcentro":"22005868","filtros":"0;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MONTANUY","ce.codcentro":"22011005","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MONTE OROEL","ce.codcentro":"22004839","filtros":"1;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MONTEARAGÓN","ce.codcentro":"22005728","filtros":"1;1;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MONTECORONA","ce.codcentro":"22003835","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MONTESNEGROS","ce.codcentro":"22005686","filtros":"0;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"MONZÓN III","ce.codcentro":"22010839","filtros":"1;1;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"NININS","ce.codcentro":"22010281","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"NINONES","ce.codcentro":"22010578","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"NUESTRA SEÑORA DE LA ALEGRÍA","ce.codcentro":"22600084","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"NUESTRA SEÑORA DE SAN LORENZO","ce.codcentro":"22600072","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"PARCHÍS","ce.codcentro":"22010189","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"PASITO A PASO","ce.codcentro":"22010219","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"PATI","ce.codcentro":"22006061","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"PEDRO I","ce.codcentro":"22004906","filtros":"1;1;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"PEDRO J. RUBIO","ce.codcentro":"22005200","filtros":"1;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"PÍO XII","ce.codcentro":"22002338","filtros":"1;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"PIRINEOS-PYRÉNÉES","ce.codcentro":"22010323","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"PUENTE SARDAS","ce.codcentro":"22003847","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"RAMÓN J. SENDER","ce.codcentro":"22001656","filtros":"0;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"RAMÓN Y CAJAL","ce.codcentro":"22000585","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"RIBERA DEL CINCA","ce.codcentro":"22005807","filtros":"0;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"RÍO ARAGÓN","ce.codcentro":"22005789","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SAN BERNARDO","ce.codcentro":"22002430","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SAN GINÉS","ce.codcentro":"22003100","filtros":"1;1;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SAN GREGORIO","ce.codcentro":"22003343","filtros":"0;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SAN JOSÉ","ce.codcentro":"22002405","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SAN JOSÉ DE CALASANZ","ce.codcentro":"22000779","filtros":"1;0;1","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SAN JOSÉ DE CALASANZ","ce.codcentro":"22001887","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SAN JUAN BAUTISTA","ce.codcentro":"22004608","filtros":"0;0;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SAN JUAN DE LA PEÑA","ce.codcentro":"22002673","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SAN MIGUEL","ce.codcentro":"22004271","filtros":"1;1;1","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SAN VIATOR","ce.codcentro":"22002478","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SAN VICENTE","ce.codcentro":"22002351","filtros":"1;1;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SAN VICENTE DE PAÚL","ce.codcentro":"22000767","filtros":"1;1;1","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SANCHO RAMÍREZ","ce.codcentro":"22002341","filtros":"1;1;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SANTA ANA","ce.codcentro":"22001899","filtros":"1;0;1","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SANTA ANA","ce.codcentro":"22002417","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SANTA ANA","ce.codcentro":"22003252","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SANTA ANA","ce.codcentro":"22003860","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SANTA CATALINA","ce.codcentro":"22010748","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SANTA MARGARITA","ce.codcentro":"22010414","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SANTA ROSA - ALTOARAGÓN","ce.codcentro":"22002466","filtros":"1;0;0","naturaleza":"Privado"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SANTIAGO APÓSTOL","ce.codcentro":"22002119","filtros":"1;1;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"SANTOS SAMPER SARASA","ce.codcentro":"22000299","filtros":"1;1;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"TREVIÑER","ce.codcentro":"22010785","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"TRIAMOLETA","ce.codcentro":"22010335","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"VALLE DE BIELSA","ce.codcentro":"22010529","filtros":"0;0;0","naturaleza":"Público"
