"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"SAN GREGORIO","direccion_centro":"Cl. San Gregorio, 55"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"SAN JOSÉ DE CALASANZ","direccion_centro":"Avda. Deportes, 4"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"SAN JUAN BAUTISTA","direccion_centro":"Avda. San Antonio Abad, 37"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"SAN JUAN DE LA PEÑA","direccion_centro":"Cl. San José De Calasanz, 3"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"SAN MIGUEL","direccion_centro":"Cl. La Colomina, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"SAN VICENTE","direccion_centro":"Pza. De San Vicente, 1"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"SANCHO RAMÍREZ","direccion_centro":"Cl. Torre Mendoza, 1"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"SANTA CATALINA","direccion_centro":"AVDA. DE LA CONSTITUCIÓN, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"SANTA MARGARITA","direccion_centro":"CARRETERA DE FRAGA S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"SANTIAGO APÓSTOL","direccion_centro":"CL. ESCUELAS, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"SANTOS SAMPER SARASA","direccion_centro":"Cl. Las Ciencias, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"TREVIÑER","direccion_centro":"AVDA. Santiago Foncillas, 9"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"TRIAMOLETA","direccion_centro":"CL. CAMPOS DE LA IGLESIA, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"VALLE DE BIELSA","direccion_centro":"CL. CALVARIO, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"VALLE DEL GUARGA","direccion_centro":"Cl. San Francisco de Asís, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"VÍCTOR MENDOZA MENDOZA","direccion_centro":"CL. ALMACELLAS, 31"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"VILLANUEVA DE SIJENA","direccion_centro":"CL. EL SALVADOR, 9"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"VIRGEN DE LA SOLEDAD","direccion_centro":"Cl. Carretera, 6"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"VIRGEN DE LOS RÍOS","direccion_centro":"CL. LA IGLESIA, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"VIRGEN DEL ROSARIO","direccion_centro":"CL. Escuelas, 22"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"XIQUETS","direccion_centro":"INTERSECCIÓN C/ CABAÑERA REAL Y C/ JAIME I"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"ANTONIO GARGALLO MOYA","direccion_centro":"Avda. De La Constitución, 3"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"ASTRÓNOMO ZARZOSO","direccion_centro":"Cl. Matadero, S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"COMARCA CUENCAS MINERAS","direccion_centro":"Cl. Balmes, 7"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE AGUAVIVA","direccion_centro":"AVDA. PARRAS DE CASTELLOTE, 18"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE ALBALATE DEL ARZOBISPO","direccion_centro":"CL. EL PALOMAR, S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE ALBARRACÍN","direccion_centro":"CAMI. DE GEA, S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE ALCORISA","direccion_centro":"CL. FUENTE NUEVA, 15"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE ALLOZA","direccion_centro":"C/ Carretera, s/n"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE BRONCHALES","direccion_centro":"CL. CARRETERA, 17-B"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE CALACEITE","direccion_centro":"AVDA. ARAGÓN, 2-4"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE CALANDA","direccion_centro":"CL. CAPUCHINOS, 2"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE CANTAVIEJA","direccion_centro":"AVDA. MAESTRAZGO, 3"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE LA MATA DE LOS OLMOS","direccion_centro":"CL. BAJA, 52"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE LA PUEBLA DE HÍJAR","direccion_centro":"AVDA. ESTACIÓN, 2"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE MAS DE LAS MATAS","direccion_centro":"CL. Las Escuelas, S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE MONTALBÁN","direccion_centro":"CL. BALMES, Nº 7"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE OJOS NEGROS","direccion_centro":"TRAVESÍA DE LA PLAZA, 11"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE RUBIELOS DE MORA","direccion_centro":"CL. ESTERRADOR, 1"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE SANTA EULALIA","direccion_centro":"CL. ESPAÑA, S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE SARRIÓN","direccion_centro":"C/ Tenor Juan García, 2"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE SARRIÓN","direccion_centro":"Cl. Tenor Juan García, 2"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE TERUEL (BARRIO ARRABAL)","direccion_centro":"PZA. PIRINEOS, S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE TERUEL (SAN BLAS)","direccion_centro":"CL. LA IGLESIA, S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE TERUEL (VILLAESPESA)","direccion_centro":"El Paso 1"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE TORRECILLA DE ALCAÑIZ","direccion_centro":"CL. CARRETERA Nº 4"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE UTRILLAS","direccion_centro":"CL. CONSTITUCIÓN, S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE VALDERROBRES","direccion_centro":"CL. LOPE DE VEGA, 56"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"DE VILLARQUEMADO","direccion_centro":"CL. LARGA, 55-A"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"EL CASTILLO","direccion_centro":"PLAZA DEL CASTILLO, Nº 6"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"EL JUSTICIA DE ARAGÓN","direccion_centro":"Cl. San Pascual 22"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"EL PARQUE","direccion_centro":"CL. Basiliso Muñoz, S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"EMILIO DÍAZ","direccion_centro":"Cl. Ronda De Caspe, 1"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"ENSANCHE","direccion_centro":"Cl. José Torán, 5"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"JUAN LORENZO PALMIRENO","direccion_centro":"Avda. Aragón, 28"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"JUAN RAMÓN ALEGRE","direccion_centro":"Cl. San Isidro Labrador, 2"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"JUAN SOBRARIAS","direccion_centro":"CL. Morella s/n"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"LA CODOÑERA","direccion_centro":"AVDA. Isidoro Celma nº 6"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"LA FUENFRESCA","direccion_centro":"Cl. Los Tilos, 1"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"LA MALENA","direccion_centro":"Cl. Subida A La Virgen, S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"LA REPLACETA","direccion_centro":"PZA. DE LA IGLESIA, S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"LA SELVETA","direccion_centro":"CL. CONCEPCIÓN GIMENO GIL, Nº 7, PLANTA BAJA"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"LAS ANEJAS","direccion_centro":"Atarazanas 10"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"LOS MONCHONES","direccion_centro":"CL. DIEGO RAMELLORE, 20"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"LUIS TURÓN","direccion_centro":"Cl. Extramuros, S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"MANUEL FRANCO ROYO","direccion_centro":"Avda. Escatrón, 1"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"MEZQUITA DE JARQUE","direccion_centro":"C/Palomar, 11"-n-"provincia":"Teruel"
