Enseñanza;Cód. Modalidad;Modalidad;Curso;Turno;Cód. RCD Centro;Nº Matriculados;Localidad;Sexo;Provincia
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010041;1;Utebo;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;44003211;1;Teruel;M;Teruel
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;22002521;1;Huesca;M;Huesca
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010511;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50005793;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50005793;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50011732;1;Caspe;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010946;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50009129;1;Ejea de los Caballeros;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010041;1;Utebo;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;44004653;1;Andorra;H;Teruel
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50009129;1;Ejea de los Caballeros;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50007716;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50007017;1;Zaragoza;H;Zaragoza
