Comunidades;Edad (año a año);Españoles/Extranjeros;Sexo;Año;Total
ARAGÓN;72 años;Españoles;Ambos sexos;2019;12.503
ARAGÓN;72 años;Extranjeros;Ambos sexos;2019;208
ARAGÓN;73 años;TOTAL;Ambos sexos;2019;12.825
ARAGÓN;73 años;Españoles;Ambos sexos;2019;12.658
ARAGÓN;73 años;Extranjeros;Ambos sexos;2019;167
ARAGÓN;74 años;TOTAL;Ambos sexos;2019;12.080
ARAGÓN;74 años;Españoles;Ambos sexos;2019;11.903
ARAGÓN;74 años;Extranjeros;Ambos sexos;2019;177
ARAGÓN;75 años;TOTAL;Ambos sexos;2019;11.719
ARAGÓN;75 años;Españoles;Ambos sexos;2019;11.586
ARAGÓN;75 años;Extranjeros;Ambos sexos;2019;133
ARAGÓN;76 años;TOTAL;Ambos sexos;2019;10.458
ARAGÓN;76 años;Españoles;Ambos sexos;2019;10.343
ARAGÓN;76 años;Extranjeros;Ambos sexos;2019;115
ARAGÓN;77 años;TOTAL;Ambos sexos;2019;9.539
ARAGÓN;77 años;Españoles;Ambos sexos;2019;9.431
ARAGÓN;77 años;Extranjeros;Ambos sexos;2019;108
ARAGÓN;78 años;TOTAL;Ambos sexos;2019;10.563
ARAGÓN;78 años;Españoles;Ambos sexos;2019;10.469
ARAGÓN;78 años;Extranjeros;Ambos sexos;2019;94
ARAGÓN;79 años;TOTAL;Ambos sexos;2019;7.288
ARAGÓN;79 años;Españoles;Ambos sexos;2019;7.197
ARAGÓN;79 años;Extranjeros;Ambos sexos;2019;91
ARAGÓN;80 años;TOTAL;Ambos sexos;2019;7.673
ARAGÓN;80 años;Españoles;Ambos sexos;2019;7.592
ARAGÓN;80 años;Extranjeros;Ambos sexos;2019;81
ARAGÓN;81 años;TOTAL;Ambos sexos;2019;8.734
ARAGÓN;81 años;Españoles;Ambos sexos;2019;8.686
ARAGÓN;81 años;Extranjeros;Ambos sexos;2019;48
ARAGÓN;82 años;TOTAL;Ambos sexos;2019;9.728
ARAGÓN;82 años;Españoles;Ambos sexos;2019;9.676
ARAGÓN;82 años;Extranjeros;Ambos sexos;2019;52
ARAGÓN;83 años;TOTAL;Ambos sexos;2019;9.268
ARAGÓN;83 años;Españoles;Ambos sexos;2019;9.210
ARAGÓN;83 años;Extranjeros;Ambos sexos;2019;58
ARAGÓN;84 años;TOTAL;Ambos sexos;2019;8.806
ARAGÓN;84 años;Españoles;Ambos sexos;2019;8.759
ARAGÓN;84 años;Extranjeros;Ambos sexos;2019;47
ARAGÓN;85 años;TOTAL;Ambos sexos;2019;8.590
ARAGÓN;85 años;Españoles;Ambos sexos;2019;8.557
ARAGÓN;85 años;Extranjeros;Ambos sexos;2019;33
ARAGÓN;86 años;TOTAL;Ambos sexos;2019;8.092
ARAGÓN;86 años;Españoles;Ambos sexos;2019;8.060
ARAGÓN;86 años;Extranjeros;Ambos sexos;2019;32
ARAGÓN;87 años;TOTAL;Ambos sexos;2019;7.071
ARAGÓN;87 años;Españoles;Ambos sexos;2019;7.045
ARAGÓN;87 años;Extranjeros;Ambos sexos;2019;26
ARAGÓN;88 años;TOTAL;Ambos sexos;2019;6.369
ARAGÓN;88 años;Españoles;Ambos sexos;2019;6.344
ARAGÓN;88 años;Extranjeros;Ambos sexos;2019;25
ARAGÓN;89 años;TOTAL;Ambos sexos;2019;5.586
ARAGÓN;89 años;Españoles;Ambos sexos;2019;5.569
ARAGÓN;89 años;Extranjeros;Ambos sexos;2019;17
ARAGÓN;90 años;TOTAL;Ambos sexos;2019;4.639
ARAGÓN;90 años;Españoles;Ambos sexos;2019;4.627
ARAGÓN;90 años;Extranjeros;Ambos sexos;2019;12
ARAGÓN;91 años;TOTAL;Ambos sexos;2019;3.826
ARAGÓN;91 años;Españoles;Ambos sexos;2019;3.818
ARAGÓN;91 años;Extranjeros;Ambos sexos;2019;8
ARAGÓN;92 años;TOTAL;Ambos sexos;2019;3.097
ARAGÓN;92 años;Españoles;Ambos sexos;2019;3.092
ARAGÓN;92 años;Extranjeros;Ambos sexos;2019;5
ARAGÓN;93 años;TOTAL;Ambos sexos;2019;2.457
ARAGÓN;93 años;Españoles;Ambos sexos;2019;2.447
ARAGÓN;93 años;Extranjeros;Ambos sexos;2019;10
ARAGÓN;94 años;TOTAL;Ambos sexos;2019;2.058
ARAGÓN;94 años;Españoles;Ambos sexos;2019;2.051
ARAGÓN;94 años;Extranjeros;Ambos sexos;2019;7
ARAGÓN;95 años;TOTAL;Ambos sexos;2019;1.538
ARAGÓN;95 años;Españoles;Ambos sexos;2019;1.535
ARAGÓN;95 años;Extranjeros;Ambos sexos;2019;3
ARAGÓN;96 años;TOTAL;Ambos sexos;2019;1.150
