CE;Naturaleza;Denom. Genérica Centro;Cód. RCD Centro;Centro;Domicilio;coordenadas;Cód. Postal;Provincia;Municipio;Enseñanza (agrupada);Enseñanza;Modalidad;Curso;Sexo;Edad;Nº Alumnos
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);C/ Las Armas, 102;;50003;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;14
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);C/ Las Armas, 102;;50003;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;4
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);C/ Las Armas, 102;;50003;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;19 Años;4
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);C/ Las Armas, 102;;50003;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;21 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);C/ Las Armas, 102;;50003;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;19 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;C/ Jose Luis Pomarón, 10;;50008;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;16 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;C/ Jose Luis Pomarón, 10;;50008;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;17 Años;5
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;C/ Jose Luis Pomarón, 10;;50008;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;18 Años;5
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;C/ Jose Luis Pomarón, 10;;50008;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;19 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;C/ Jose Luis Pomarón, 10;;50008;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;20 Años;1
