CE;Naturaleza;Denom. Genérica Centro;Cód. RCD Centro;Centro;Cód. RCD Centro;Domicilio;Provincia;Municipio;Enseñanza (agrupada);Enseñanza (estatal);Enseñanza;Modalidad;Curso;Sexo;Edad;Nº Alumnos
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;50601523;C/ BARRIO VERDE, 8;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;18 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;50601523;C/ BARRIO VERDE, 8;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;21 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;50601547;C/ CAMINO DE LOS MOLINOS, 12;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;5
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;50601547;C/ CAMINO DE LOS MOLINOS, 12;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;4
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;50601547;C/ CAMINO DE LOS MOLINOS, 12;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;3
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;50601547;C/ CAMINO DE LOS MOLINOS, 12;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;19 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;50601547;C/ CAMINO DE LOS MOLINOS, 12;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;16 Años;5
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;50601547;C/ CAMINO DE LOS MOLINOS, 12;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;17 Años;5
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;50601547;C/ CAMINO DE LOS MOLINOS, 12;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;18 Años;5
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;50601547;C/ CAMINO DE LOS MOLINOS, 12;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;19 Años;2
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;50601547;C/ CAMINO DE LOS MOLINOS, 12;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Mujer;17 Años;2
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;50601547;C/ CAMINO DE LOS MOLINOS, 12;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Mujer;20 Años;1
2019/2020;privado;Escuela Pública de Música y/o Danza;22005005;ESCUELA DE MÚSICA MIGUEL FLETA;22005005;DR. ARTERO, 2;Huesca;Huesca;ARTÍSTICAS;E.E. No regladas de la Música;Enseñanzas no regladas de la Música LOGSE;Total;Especialidad General;Hombre;Hasta 12 Años;9
2019/2020;privado;Escuela Pública de Música y/o Danza;22005005;ESCUELA DE MÚSICA MIGUEL FLETA;22005005;DR. ARTERO, 2;Huesca;Huesca;ARTÍSTICAS;E.E. No regladas de la Música;Enseñanzas no regladas de la Música LOGSE;Total;Especialidad General;Hombre;Más de 18 Años;5
2019/2020;privado;Escuela Pública de Música y/o Danza;22005005;ESCUELA DE MÚSICA MIGUEL FLETA;22005005;DR. ARTERO, 2;Huesca;Huesca;ARTÍSTICAS;E.E. No regladas de la Música;Enseñanzas no regladas de la Música LOGSE;Total;Especialidad General;Mujer;Hasta 12 Años;10
2019/2020;privado;Escuela Pública de Música y/o Danza;22005005;ESCUELA DE MÚSICA MIGUEL FLETA;22005005;DR. ARTERO, 2;Huesca;Huesca;ARTÍSTICAS;E.E. No regladas de la Música;Enseñanzas no regladas de la Música LOGSE;Total;Especialidad General;Mujer;13 a 18 Años;5
2019/2020;privado;Escuela Pública de Música y/o Danza;22005005;ESCUELA DE MÚSICA MIGUEL FLETA;22005005;DR. ARTERO, 2;Huesca;Huesca;ARTÍSTICAS;E.E. No regladas de la Música;Enseñanzas no regladas de la Música LOGSE;Total;Especialidad General;Mujer;Más de 18 Años;4
