CE;Enseñanza;Curso;Naturaleza;Denom. Genérica Centro;Centro;Nº Matriculados
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;78
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;59
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PEDRO CERRADA;43
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PEDRO DE LUNA;199
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PILAR LORENGAR;100
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PIRÁMIDE;152
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PIRINEOS;54
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN J. SENDER;59
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN PIGNATELLI;43
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;148
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;45
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;REYES CATÓLICOS;77
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RÍO ARBA;44
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RÍO GÁLLEGO;61
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RODANAS;45
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SALVADOR VICTORIA;32
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SAN ALBERTO MAGNO;43
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SANTA EMERENCIANA;89
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SANTIAGO HERNÁNDEZ;66
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SEGUNDO DE CHOMÓN;96
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIERRA DE GUARA;73
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIERRA DE LA VIRGEN;40
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIERRA DE SAN QUÍLEZ;62
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIGLO XXI;37
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SOBRARBE;37
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;TIEMPOS MODERNOS;98
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;TORRE DE LOS ESPEJOS;50
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;TUBALCAÍN;91
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;VALLE DEL JILOCA;48
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;VEGA DEL TURIA;99
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;VIRGEN DEL PILAR;93
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ZAURÍN;21
2013/2014;Bachillerato;1;Centro público;Escuela de Arte;ESCUELA DE ARTE DE HUESCA;59
2013/2014;Bachillerato;1;Centro público;Escuela de Arte;ESCUELA DE ARTE DE TERUEL;40
2013/2014;Bachillerato;1;Centro público;Escuela de Arte;ESCUELA DE ARTE DE ZARAGOZA;171
2013/2014;Bachillerato;1;Centro privado;Centro Privado de Educación Secundaria;SALESIANOS LAVIAGA-CASTILLO;41
2013/2014;Bachillerato;1;Centro privado;Centro Privado de Educación Secundaria;SAN VALERO;102
2013/2014;Bachillerato;1;Centro privado;Centro Privado de Educación Secundaria;SANTO DOMINGO SAVIO;48
2013/2014;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;EL BUEN PASTOR;61
2013/2014;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;OBRA DIOCESANA SANTO DOMINGO DE SILOS;170
2013/2014;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;PADRE ENRIQUE DE OSSÓ;59
2013/2014;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;SALESIANO NTRA. SRA.DEL PILAR;106
2013/2014;Bachillerato;1;Centro privado;Centro Privado Integrado de Formación Profesional;LA SALLE-SANTO ANGEL;71
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ANDALÁN;76
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ÁNGEL SANZ BRIZ;63
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;AVEMPACE;55
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BAJO ARAGÓN;167
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BAJO CINCA;39
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BALTASAR GRACIÁN;55
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BENJAMÍN JARNÉS;92
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BIELLO ARAGÓN;31
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CABAÑAS;52
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CINCO VILLAS;45
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;COMUNIDAD DE DAROCA;27
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CONDE ARANDA;42
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CORONA DE ARAGÓN;66
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;DOMINGO MIRAL;65
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;EL PORTILLO;69
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ELAIOS;106
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;EMILIO JIMENO;65
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FÉLIX DE AZARA;79
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FERNANDO LÁZARO CARRETER;26
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FRANCÉS DE ARANDA;73
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FRANCISCO GRANDE COVIÁN;93
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;GALLICUM;48
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;GOYA;409
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;HERMANOS ARGENSOLA;71
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ÍTACA;88
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JERÓNIMO ZURITA;89
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JOAQUÍN COSTA;41
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JOSÉ MANUEL BLECUA;955
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JOSÉ MOR DE FUENTES;72
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JUAN DE LANUZA;64
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LA AZUCARERA;87
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LA LLITERA;49
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LEONARDO DE CHABACIER;68
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LUCAS MALLADA;151
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LUIS BUÑUEL;100
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MAR DE ARAGÓN;59
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MARTÍNEZ VARGAS;55
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MATARRAÑA;53
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MEDINA ALBAIDA;87
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL CATALÁN;148
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL DE MOLINOS;79
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL SERVET;176
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIRALBUENO;37
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MONEGROS-GASPAR LAX;27
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO GARGALLO;51
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;60
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;56
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PEDRO CERRADA;48
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PEDRO DE LUNA;201
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PILAR LORENGAR;94
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PIRÁMIDE;144
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PIRINEOS;63
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN J. SENDER;69
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN PIGNATELLI;45
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;211
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;43
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;REYES CATÓLICOS;55
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RÍO ARBA;48
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RÍO GÁLLEGO;36
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RODANAS;32
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SALVADOR VICTORIA;15
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SAN ALBERTO MAGNO;44
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SANTA EMERENCIANA;98
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SANTIAGO HERNÁNDEZ;52
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SEGUNDO DE CHOMÓN;102
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIERRA DE GUARA;75
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIERRA DE LA VIRGEN;37
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIERRA DE SAN QUÍLEZ;50
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIGLO XXI;35
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SOBRARBE;39
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;TIEMPOS MODERNOS;80
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;TORRE DE LOS ESPEJOS;29
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;TUBALCAÍN;94
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;VALLE DEL JILOCA;30
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;VEGA DEL TURIA;109
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;VIRGEN DEL PILAR;51
2013/2014;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ZAURÍN;49
2013/2014;Bachillerato;2;Centro público;Escuela de Arte;ESCUELA DE ARTE DE HUESCA;62
2013/2014;Bachillerato;2;Centro público;Escuela de Arte;ESCUELA DE ARTE DE TERUEL;32
2013/2014;Bachillerato;2;Centro público;Escuela de Arte;ESCUELA DE ARTE DE ZARAGOZA;214
2013/2014;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;SALESIANOS LAVIAGA-CASTILLO;39
2013/2014;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;SAN VALERO;116
2013/2014;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;SANTO DOMINGO SAVIO;46
2013/2014;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;EL BUEN PASTOR;73
2013/2014;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;OBRA DIOCESANA SANTO DOMINGO DE SILOS;169
2013/2014;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;PADRE ENRIQUE DE OSSÓ;63
2013/2014;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;SALESIANO NTRA. SRA.DEL PILAR;94
2013/2014;Bachillerato;2;Centro privado;Centro Privado Integrado de Formación Profesional;LA SALLE-SANTO ANGEL;76
2013/2014;Bachillerato;3;Centro público;Instituto de Educación Secundaria;GOYA;0
2013/2014;Bachillerato;3;Centro público;Instituto de Educación Secundaria;VEGA DEL TURIA;24
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ANDALÁN;86
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ÁNGEL SANZ BRIZ;48
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;AVEMPACE;98
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BAJO ARAGÓN;195
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BAJO CINCA;65
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BALTASAR GRACIÁN;36
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BENJAMÍN JARNÉS;67
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BIELLO ARAGÓN;22
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CABAÑAS;56
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CINCO VILLAS;60
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CLARA CAMPOAMOR RODRÍGUEZ;51
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;COMUNIDAD DE DAROCA;15
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CONDE ARANDA;48
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CORONA DE ARAGÓN;82
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;DOMINGO MIRAL;74
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;EL PORTILLO;66
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ELAIOS;102
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;EMILIO JIMENO;87
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FÉLIX DE AZARA;102
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FERNANDO LÁZARO CARRETER;23
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FRANCÉS DE ARANDA;80
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FRANCISCO GRANDE COVIÁN;135
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;GALLICUM;62
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;GOYA;418
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;HERMANOS ARGENSOLA;74
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ÍTACA;148
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JERÓNIMO ZURITA;102
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JOAQUÍN COSTA;41
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JOSÉ MANUEL BLECUA;55
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JOSÉ MOR DE FUENTES;68
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JUAN DE LANUZA;83
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LA AZUCARERA;109
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LA LLITERA;30
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LEONARDO DE CHABACIER;61
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LUCAS MALLADA;45
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LUIS BUÑUEL;130
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MAR DE ARAGÓN;77
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MARTÍNEZ VARGAS;68
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MATARRAÑA;25
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MEDINA ALBAIDA;100
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIGUEL CATALÁN;168
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIGUEL DE MOLINOS;59
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIGUEL SERVET;220
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIRALBUENO;35
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MONEGROS-GASPAR LAX;41
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PABLO GARGALLO;73
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;64
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;75
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PEDRO CERRADA;47
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PEDRO DE LUNA;212
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PILAR LORENGAR;94
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PIRÁMIDE;155
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PIRINEOS;61
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN J. SENDER;51
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN PIGNATELLI;52
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;185
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;49
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;REYES CATÓLICOS;80
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RÍO ARBA;36
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RÍO GÁLLEGO;48
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RODANAS;26
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SALVADOR VICTORIA;23
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SAN ALBERTO MAGNO;59
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SANTA EMERENCIANA;69
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SANTIAGO HERNÁNDEZ;61
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SEGUNDO DE CHOMÓN;104
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIERRA DE GUARA;62
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIERRA DE LA VIRGEN;37
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIERRA DE SAN QUÍLEZ;39
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIGLO XXI;38
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SOBRARBE;47
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;TIEMPOS MODERNOS;116
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;TORRE DE LOS ESPEJOS;57
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;TUBALCAÍN;70
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;VALLE DEL JILOCA;32
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;VEGA DEL TURIA;90
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;VIRGEN DEL PILAR;100
2014/2015;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ZAURÍN;40
2014/2015;Bachillerato;1;Centro público;Escuela de Arte;ESCUELA DE ARTE DE HUESCA;59
2014/2015;Bachillerato;1;Centro público;Escuela de Arte;ESCUELA DE ARTE DE TERUEL;28
2014/2015;Bachillerato;1;Centro público;Escuela de Arte;ESCUELA DE ARTE DE ZARAGOZA;200
2014/2015;Bachillerato;1;Centro privado;Centro Privado de Educación Secundaria;SALESIANOS LAVIAGA-CASTILLO;47
2014/2015;Bachillerato;1;Centro privado;Centro Privado de Educación Secundaria;SAN VALERO;108
2014/2015;Bachillerato;1;Centro privado;Centro Privado de Educación Secundaria;SANTO DOMINGO SAVIO;55
2014/2015;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;EL BUEN PASTOR;78
2014/2015;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;OBRA DIOCESANA SANTO DOMINGO DE SILOS;133
2014/2015;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;PADRE ENRIQUE DE OSSÓ;64
2014/2015;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;SALESIANO NTRA. SRA.DEL PILAR;107
2014/2015;Bachillerato;1;Centro privado;Centro Privado Integrado de Formación Profesional;LA SALLE-SANTO ANGEL;86
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ANDALÁN;75
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ÁNGEL SANZ BRIZ;42
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;AVEMPACE;77
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BAJO ARAGÓN;175
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BAJO CINCA;56
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BALTASAR GRACIÁN;55
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BENJAMÍN JARNÉS;72
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BIELLO ARAGÓN;44
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CABAÑAS;59
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CINCO VILLAS;58
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CLARA CAMPOAMOR RODRÍGUEZ;31
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;COMUNIDAD DE DAROCA;26
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CONDE ARANDA;40
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CORONA DE ARAGÓN;73
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;DOMINGO MIRAL;76
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;EL PORTILLO;51
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ELAIOS;84
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;EMILIO JIMENO;76
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FÉLIX DE AZARA;78
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FERNANDO LÁZARO CARRETER;17
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FRANCÉS DE ARANDA;75
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FRANCISCO GRANDE COVIÁN;116
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;GALLICUM;52
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;GOYA;511
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;HERMANOS ARGENSOLA;65
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ÍTACA;114
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JERÓNIMO ZURITA;94
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JOAQUÍN COSTA;48
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JOSÉ MANUEL BLECUA;838
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JOSÉ MOR DE FUENTES;86
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JUAN DE LANUZA;79
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LA AZUCARERA;94
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LA LLITERA;47
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LEONARDO DE CHABACIER;57
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LUCAS MALLADA;153
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LUIS BUÑUEL;109
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MAR DE ARAGÓN;68
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MARTÍNEZ VARGAS;61
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MATARRAÑA;38
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MEDINA ALBAIDA;91
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL CATALÁN;155
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL DE MOLINOS;72
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL SERVET;171
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIRALBUENO;25
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MONEGROS-GASPAR LAX;38
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO GARGALLO;66
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;63
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;54
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PEDRO CERRADA;53
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PEDRO DE LUNA;249
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PILAR LORENGAR;90
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PIRÁMIDE;137
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PIRINEOS;56
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN J. SENDER;64
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN PIGNATELLI;46
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;190
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;45
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;REYES CATÓLICOS;64
2014/2015;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RÍO ARBA;48
