CE;Enseñanza;Curso;Naturaleza;Denom. Genérica Centro;Centro;Nº Matriculados
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;GALLICUM;36
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;GOYA;318
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;HERMANOS ARGENSOLA;71
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ÍTACA;68
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JERÓNIMO ZURITA;104
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JOAQUÍN COSTA;37
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JOSÉ MANUEL BLECUA;34
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JOSÉ MOR DE FUENTES;72
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JUAN DE LANUZA;76
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LA AZUCARERA;79
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LA LLITERA;30
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LEONARDO DE CHABACIER;56
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LUIS BUÑUEL;118
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MAR DE ARAGÓN;85
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MARTÍNEZ VARGAS;53
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MATARRAÑA;31
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MEDINA ALBAIDA;83
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIGUEL CATALÁN;150
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIGUEL DE MOLINOS;78
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIGUEL SERVET;176
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIRALBUENO;30
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MONEGROS-GASPAR LAX;37
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PABLO GARGALLO;59
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;77
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;62
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PEDRO CERRADA;81
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PEDRO DE LUNA;170
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PILAR LORENGAR;91
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PIRINEOS;57
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN J. SENDER;62
