nombrecentro;pctextranjeros
NTRA. SRA. DEL PILAR;12.5
CERRO DE SANTA CRUZ;12.5
DE ALAGÓN;12.5
EL CASTILLO;12.5
DE ONTINAR DE SALZ;12.5
BIELLO ARAGÓN;12.462
EL POMILLO;12.3077
LA MUELA;12.1951
EUGENIO LÓPEZ Y LÓPEZ;12.1535
ALTO GÁLLEGO;12.1212
ESTADILLA-FONZ;12.0301
SANTA ANA;11.9835
EL BUEN PASTOR;11.9658
DE SARIÑENA;11.9403
PARQUE EUROPA;11.8812
SANTOS SAMPER SARASA;11.8557
PABLO SERRANO;11.7958
MONLORA;11.7647
JUAN PABLO BONET;11.7486
FERNANDO LÁZARO CARRETER;11.7318
CORONA DE ARAGÓN;11.7236
SAN ANTONIO DE PADUA;11.6904
BENEDICTO XIII;11.6667
ASTRÓNOMO ZARZOSO;11.6402
SAGRADA FAMILIA;11.4504
PÓRTICO DE ARAGÓN;11.3821
SIERRA DE LA VIRGEN;11.3712
ALIFARA;11.3636
SIGLO XXI;11.359
SANTA ANA;11.3559
VIRGEN DEL PILAR;11.3225
SANTO DOMINGO SAVIO;11.2847
SABINA ALBAR;11.2676
LUCAS MALLADA;11.2195
SOLETES;11.1111
PEQUEÑALBA;11.1111
EL TRÉBOL;11.0465
SAN JOSÉ DE CALASANZ;10.992
PILAR BAYONA;10.9705
LA AZUCARERA;10.9337
ÍNSULA BARATARIA;10.929
ANGEL RIVIÈRE;10.9091
SOBRARBE;10.9034
INMACULADA CONCEPCIÓN;10.8911
SALESIANOS LAVIAGA-CASTILLO;10.8163
DE ALBARRACÍN;10.8108
LA JOTA;10.7425
MARTÍNEZ VARGAS;10.6667
COMUNIDAD DE DAROCA;10.6557
JERÓNIMO BLANCAS Y TOMÁS;10.6306
VIRGEN DE LA OLIVA;10.6061
FERNÁNDEZ VIZARRA;10.5882
SANTA EMERENCIANA;10.5867
SAN ROQUE;10.5793
CASTILLO QADRIT;10.5516
SAN ALBERTO MAGNO;10.4839
LA LLITERA;10.4762
GUSTAVO ADOLFO BÉCQUER;10.4693
REYES CATÓLICOS;10.4587
CONDE ARANDA;10.4425
BALTASAR GRACIÁN;10.4348
MARÍA MOLINER;10.3704
LA SABINA;10.3226
JUAN DE LANUZA;10.2669
COTONET;10.2564
DIPUTACIÓN PROVINCIAL;10.1852
PIRÁMIDE;10
DE FRAGA;10
