CE;Cód. RCD Centro;Enseñanza (agrupada);Enseñanza (estatal);Enseñanza;Modalidad;Curso;Sexo;Edad;Nº Alumnos
2017/2018;22000585;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Hombre;12 Años;2
2017/2018;22000585;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Hombre;13 Años;2
2017/2018;22000585;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Mujer;11 Años;11
2017/2018;22000585;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Mujer;12 Años;1
2017/2018;22000585;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Mujer;13 Años;1
2017/2018;22000585;ESO;E.S.O.;E.S.O.;Total;2º ESO;Hombre;12 Años;5
2017/2018;22000585;ESO;E.S.O.;E.S.O.;Total;2º ESO;Hombre;13 Años;1
2017/2018;22000585;ESO;E.S.O.;E.S.O.;Total;2º ESO;Hombre;14 Años;1
2017/2018;22000585;ESO;E.S.O.;E.S.O.;Total;2º ESO;Mujer;12 Años;10
2017/2018;22000585;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Segundo de E.S.O.;Hombre;12 Años;5
2017/2018;22000585;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Segundo de E.S.O.;Hombre;13 Años;1
2017/2018;22000585;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Segundo de E.S.O.;Hombre;14 Años;1
2017/2018;22000585;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Segundo de E.S.O.;Mujer;12 Años;10
2017/2018;22000585;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Hombre;13 Años;1
2017/2018;22000585;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Hombre;14 Años;1
2017/2018;22000585;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Mujer;13 Años;4
2017/2018;22000706;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;6
2017/2018;22000706;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;1
2017/2018;22000706;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;5
2017/2018;22000706;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;3
2017/2018;22000706;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;4
2017/2018;22000706;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;5
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;6 Años;5
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;7 Años;3
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;7 Años;1
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;8 Años;1
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;8 Años;2
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;8 Años;2
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;9 Años;2
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;9 Años;2
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;10 Años;2
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;10 Años;1
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;11 Años;1
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;11 Años;2
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;12 Años;2
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;11 Años;2
2017/2018;22000706;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;12 Años;1
2017/2018;22000721;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;24
2017/2018;22000721;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;17
2017/2018;22000721;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;14
2017/2018;22000721;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;6 Años;1
2017/2018;22000721;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;19
2017/2018;22000721;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;19
2017/2018;22000721;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;25
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;6 Años;21
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;7 Años;2
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;6 Años;16
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;7 Años;17
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;8 Años;3
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;7 Años;19
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;8 Años;18
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;9 Años;3
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;8 Años;20
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;9 Años;3
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;9 Años;18
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;10 Años;2
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;9 Años;16
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;10 Años;3
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;10 Años;19
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;11 Años;4
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;10 Años;13
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;11 Años;3
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;11 Años;20
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;12 Años;5
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;11 Años;15
2017/2018;22000721;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;12 Años;2
2017/2018;22000731;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;17
2017/2018;22000731;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;14
2017/2018;22000731;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;19
2017/2018;22000731;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;15
2017/2018;22000731;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;16
2017/2018;22000731;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;21
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;6 Años;21
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;7 Años;2
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;6 Años;16
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;7 Años;5
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;7 Años;19
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;8 Años;5
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;7 Años;19
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;8 Años;1
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;8 Años;9
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;9 Años;5
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;8 Años;20
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;9 Años;2
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;9 Años;20
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;10 Años;5
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;9 Años;11
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;10 Años;3
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;10 Años;16
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;10 Años;19
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;11 Años;1
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;11 Años;15
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;12 Años;3
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;11 Años;25
2017/2018;22000731;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;12 Años;1
2017/2018;22000767;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;9
2017/2018;22000767;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;8
2017/2018;22000767;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;10
2017/2018;22000767;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;8
2017/2018;22000767;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;11
2017/2018;22000767;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;15
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;6 Años;12
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;6 Años;13
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;7 Años;6
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;8 Años;1
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;7 Años;17
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;8 Años;8
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;8 Años;13
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;9 Años;1
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;9 Años;7
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;9 Años;15
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;10 Años;9
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;11 Años;1
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;10 Años;15
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;11 Años;11
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;12 Años;2
2017/2018;22000767;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;11 Años;11
2017/2018;22000767;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Hombre;12 Años;8
2017/2018;22000767;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Hombre;13 Años;3
2017/2018;22000767;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Mujer;12 Años;13
2017/2018;22000767;ESO;E.S.O.;E.S.O.;Total;2º ESO;Hombre;13 Años;7
