DATOS_ID;CABECERA_ID;ACOD_CENTRO;ACOD_EXTENSION;NCURSO_ACADEMICO;ACOD_ENTIDAD;ACOD_CRUCE;ACOD_ENSENANZA;ACOD_RECOGIDA;ACARACT1;AVALOR1;ACARACT2;AVALOR2;ACARACT3;AVALOR3;ACARACT4;AVALOR4;ACARACT5;AVALOR5;NDATO;ACOD_ENTIDAD_1;ACOD_CARAC;ACOD_VALOR;AVALOR;ATOTAL;ACOD_VALOR_EST;DFECHA_CREACION;AUSU_CREACION;ADESCRIPCION_CORTA
5.441.305;405.629;22010207;00;2.019;SC;R01;000000000;01;01;4;;;;;;;;;1;SC;01;4;Apertura antes del horario lectivo;N;4;09/14/2001 00:00:00;0000;Apertura antes horario lectivo
5.657.122;419.385;22010219;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.657.243;419.406;22010220;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.657.244;419.406;22010220;00;2.019;SC;R01;000000000;01;01;4;;;;;;;;;1;SC;01;4;Apertura antes del horario lectivo;N;4;09/14/2001 00:00:00;0000;Apertura antes horario lectivo
5.439.513;405.174;22010232;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.555.955;412.716;22010244;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.555.956;412.716;22010244;00;2.019;SC;R01;000000000;01;01;4;;;;;;;;;1;SC;01;4;Apertura antes del horario lectivo;N;4;09/14/2001 00:00:00;0000;Apertura antes horario lectivo
5.618.090;416.732;22010256;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.618.091;416.732;22010256;00;2.019;SC;R01;000000000;01;01;4;;;;;;;;;1;SC;01;4;Apertura antes del horario lectivo;N;4;09/14/2001 00:00:00;0000;Apertura antes horario lectivo
5.438.553;404.955;22010268;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.567.653;413.567;22010271;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.440.087;405.341;22010281;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.438.160;404.854;22010293;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
