CE;Naturaleza;Denom. Genérica Centro;Cód. RCD Centro;Centro;Domicilio;Cód. Postal;Provincia;Municipio;Nº Alumnos
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;44010811;ALCAÑIZ;C/ General Gutiérrez Mellado;44580;Teruel;Valderrobres;52
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;50017102;Nº 1;Cl. San Vicente Ferrer, 6;50011;Zaragoza;Zaragoza;201
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;50017114;FERNANDO LÁZARO CARRETER;Cl. Puilatos, S/N;50800;Zaragoza;Zuera;133
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;50017126;DE ALCAÑIZ;Cl. José Mª. Albareda, 4;50700;Zaragoza;Caspe;56
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;50019573;Nº 1;CM. MIRAFLORES, 13;50007;Zaragoza;Zaragoza;300
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;50019627;DE UTEBO;AV. VÍRGEN DEL PILAR, 2;50690;Zaragoza;Pedrola;50
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;50019834;FERNANDO LÁZARO CARRETER DE ZARAGOZA;Avda. Pastriz, nº 2;50171;Zaragoza;Puebla de Alfindén (La);29
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;50019846;Nº 1;c/ Isla del Tesoro, nº 14;50019;Zaragoza;Zaragoza;54
2019/2020;Centro público;Escuela de Arte;22005145;ESCUELA DE ARTE DE HUESCA;Cl. Santo Cristo De Los Milagros, 21;22004;Huesca;Huesca;388
2019/2020;Centro público;Escuela de Arte;44003284;ESCUELA DE ARTE DE TERUEL;Pza. De La Catedral, 8;44001;Teruel;Teruel;218
2019/2020;Centro público;Escuela de Arte;50008514;ESCUELA DE ARTE DE ZARAGOZA;CL. MARÍA ZAMBRANO,5;50018;Zaragoza;Zaragoza;1.252
2019/2020;Centro público;Escuela Superior de Diseño;50017311;DE ARAGÓN;CL. MARÍA ZAMBRANO Nº 3;50018;Zaragoza;Zaragoza;275
2019/2020;Centro público;Escuela Superior de Conservación y Restauración de Bienes Culturales;22010086;DE ARAGÓN;Cl. Coso Alto, 61;22003;Huesca;Huesca;32
2019/2020;Centro público;Conservatorio Elemental de Música;50011495;CONSERVATORIO MUNICIPAL ELEMENTAL MÚSICA;Cl. Domingo Miral, 3;50009;Zaragoza;Zaragoza;311
2019/2020;Centro público;Conservatorio Profesional de Música;22005133;ANTONIO VIÑUALES GRACIA;Cl. Fuente Del Ibón, 5;22003;Huesca;Huesca;455
2019/2020;Centro público;Conservatorio Profesional de Música;22005376;MIGUEL FLETA;Pza. Aragón, 6;22400;Huesca;Monzón;301
2019/2020;Centro público;Conservatorio Profesional de Música;22005443;DE SABIÑÁNIGO;CL. INSTITUTO LABORAL, 9;22600;Huesca;Sabiñánigo;216
2019/2020;Centro público;Conservatorio Profesional de Música;44004173;DE TERUEL;CL. CIUDAD ESCOLAR - EDIFICIO C.E.E. ARB;44001;Teruel;Teruel;303
2019/2020;Centro público;Conservatorio Profesional de Música;44004331;JOSÉ PERIS LACASA;CL. Federico García Lorca, 18;44600;Teruel;Alcañiz;299
2019/2020;Centro público;Conservatorio Profesional de Música;50010922;DE TARAZONA;Pza. De La Merced, S/N;50500;Zaragoza;Tarazona;214
2019/2020;Centro público;Conservatorio Profesional de Música;50011264;DE ZARAGOZA;Cl. San Vicente De Paúl, 39;50001;Zaragoza;Zaragoza;682
2019/2020;Centro público;Conservatorio Superior de Música;50010326;DE ARAGÓN;VIA HISPANIDAD, 22;50001;Zaragoza;Zaragoza;301
2019/2020;Centro público;Conservatorio Profesional de Danza;50011501;CONSERVATORIO MUNICIPAL PROFESIONAL DE DANZA;Cl. Domingo Miral, 3;50009;Zaragoza;Zaragoza;196
2019/2020;Centro público;Escuela Pública de Música;22005364;ESCUELA DE MÚSICA;CL. GALILEO, 7-13;22500;Huesca;Binéfar;384
2019/2020;Centro público;Escuela Pública de Música;22005911;INSTITUTO MUSICAL COMARCAL;P.º Barrón Gengonyer, 7;22520;Huesca;Fraga;452
2019/2020;Centro público;Escuela Pública de Música;22010131;ESCUELA DE MÚSICA;Cl. Argensola, 26 Casa De Cultura;22300;Huesca;Barbastro;555
2019/2020;Centro público;Escuela Pública de Música;22010347;DE ALTORRICÓN;CL. MIGUEL FLETA, 2;22540;Huesca;Altorricón;52
2019/2020;Centro público;Escuela Pública de Música;22010372;DE GURREA DE GÁLLEGO;PZA. TÍO PEPE, S/N;22280;Huesca;Gurrea de Gállego;94
2019/2020;Centro público;Escuela Pública de Música;22010451;JOSE MARÍA CAMPO;CL. CORTES DE ARAGÓN, Nº 3;22330;Huesca;Aínsa-Sobrarbe;273
2019/2020;Centro público;Escuela Pública de Música;44005050;VIRGEN DE LOS PUEYOS;CL. MAYOR 43;44600;Teruel;Alcañiz;287
2019/2020;Centro público;Escuela Pública de Música;44005141;ESCUELA DE MÚSICA;CL. CAPUCHINOS, 2;44570;Teruel;Calanda;59
2019/2020;Centro público;Escuela Pública de Música;44010008;ESCUELA DE MÚSICA;CL. FUENTE NUEVA, 15;44550;Teruel;Alcorisa;80
2019/2020;Centro público;Escuela Pública de Música;44010151;DE VALDERROBRES;CL. BELCHITE, 18;44580;Teruel;Valderrobres;296
2019/2020;Centro público;Escuela Pública de Música;44010215;ANTÓN GARCIA ABRIL. CIUDAD DE TERUEL;Ctra. de Alcañiz, S/N (Edificio antiguo matadero);44003;Teruel;Teruel;664
2019/2020;Centro público;Escuela Pública de Música;44010288;SALVADOR SALVADOR NAVARRO;CL. SAN BARTOLOMÉ, 11;44770;Teruel;Escucha;9
2019/2020;Centro público;Escuela Pública de Música;44010604;DE CALACEITE;AVDA. DE ARAGÓN, 2-4 1º;44610;Teruel;Calaceite;142
2019/2020;Centro público;Escuela Pública de Música;50010430;PABLO BRUNA;Cl. Mayor, 36;50360;Zaragoza;Daroca;120
2019/2020;Centro público;Escuela Pública de Música;50017187;MIGUEL ARNAUDAS;Pza. San Antonio;50630;Zaragoza;Alagón;54
2019/2020;Centro público;Escuela Pública de Música;50017199;ESCUELA DE MÚSICA;AVDA. DE NAVARRA, 12 (CENTRO POLIFUNCION);50180;Zaragoza;Utebo;312
2019/2020;Centro público;Escuela Pública de Música;50017230;ESCUELA DE MÚSICA;Cl. Joaquín Costa, 29;50600;Zaragoza;Ejea de los Caballeros;796
2019/2020;Centro público;Escuela Pública de Música;50017278;ESCUELA DE MÚSICA;Cl Fernando El Católico, 20;50750;Zaragoza;Pina de Ebro;28
2019/2020;Centro público;Escuela Pública de Música;50017281;JOSÉ DE NEBRA;Cl Baja Del Sepulcro, 2;50300;Zaragoza;Calatayud;350
2019/2020;Centro público;Escuela Pública de Música;50017412;ESCUELA DE MÚSICA;Cl. San Juan (Casa De Cultura);50100;Zaragoza;Almunia de Doña Godina (La);88
2019/2020;Centro público;Escuela Pública de Música;50017618;ESCUELA MUNICIPAL DE MÚSICA;CL.AFUERAS, S/N, PLTA. 1ª, EDIFICIO ESCOLAR;50678;Zaragoza;Uncastillo;105
2019/2020;Centro público;Escuela Pública de Música;50017709;DE GALLUR;CL. CONSTITUCIÓN, S/N;50650;Zaragoza;Gallur;82
2019/2020;Centro público;Escuela Pública de Música;50017795;EVARISTO BERNAL;PZA. ESPAÑA, 2;50830;Zaragoza;Villanueva de Gállego;93
2019/2020;Centro público;Escuela Pública de Música;50019184;VILLA DE ZUERA;CL. CRUZ CUBIERTA, 1;50800;Zaragoza;Zuera;101
2019/2020;Centro público;Escuela Pública de Música;50019411;DE SOS DEL REY CATÓLICO;PZA. DE LA VILLA, 1;50680;Zaragoza;Sos del Rey Católico;78
2019/2020;Centro público;Escuela Pública de Música y Danza;22005224;PILAR BAYONA;CL. ISAAC ALBÉNIZ, S/N;22700;Huesca;Jaca;670
2019/2020;Centro público;Escuela Pública de Música y Danza;44004604;ESCUELA DE MÚSICA Y DANZA DE ANDORRA;CL. ARAGON, 4;44500;Teruel;Andorra;382
2019/2020;Centro público;Escuela Pública de Música y Danza;44005219;ESCUELA DE MÚSICA Y DANZA;Cl. Gonzalo De Liria, 2 - 2ª Plta.;44300;Teruel;Monreal del Campo;276
2019/2020;Centro público;Escuela Pública de Música y Danza;50011549;ESCUELA DE MÚSICA Y DANZA;Cl. Domingo Miral, 5;50009;Zaragoza;Zaragoza;1.110
2019/2020;Centro público;Colegio Rural Agrupado;22000056;VERO-ALCANADRE;Avda. .De Santiago Foncillas, S/N;22147;Huesca;Adahuesca;126
2019/2020;Centro público;Colegio Rural Agrupado;22001243;ALTO ARA;Cl. Santa Cruz, s/n;22370;Huesca;Broto;199
2019/2020;Centro público;Colegio Rural Agrupado;22002843;MONEGROS NORTE;Avda. Zaragoza-Monzón, 60;22250;Huesca;Lanaja;87
2019/2020;Centro público;Colegio Rural Agrupado;22003586;CINCA-CINQUETA;Cl. Alta, S/N;22367;Huesca;Plan;81
2019/2020;Centro público;Colegio Rural Agrupado;22005674;LA LLITERA;Cl. Granero, S/N;22558;Huesca;Albelda;105
2019/2020;Centro público;Colegio Rural Agrupado;22005686;MONTESNEGROS;CL. LAS AFUERAS, S/N;22592;Huesca;Peñalba;86
2019/2020;Centro público;Colegio Rural Agrupado;22005698;A REDOLADA;CL. BALMES, 16;22130;Huesca;Peralta de Alcofea;58
2019/2020;Centro público;Colegio Rural Agrupado;22005704;BAJA RIBAGORZA;Bo. Bajo, S/N;22480;Huesca;Capella;69
2019/2020;Centro público;Colegio Rural Agrupado;22005716;ESTADILLA-FONZ;Avda. De Las Sierras, 1;22422;Huesca;Fonz;133
2019/2020;Centro público;Colegio Rural Agrupado;22005728;MONTEARAGÓN;Ctra De Huesca , S/N;22194;Huesca;Chimillas;241
2019/2020;Centro público;Colegio Rural Agrupado;22005731;ALTO GÁLLEGO;Pza. Ayuntamiento, 4;22630;Huesca;Biescas;264
2019/2020;Centro público;Colegio Rural Agrupado;22005741;EL TRÉBOL;Cl. Joaquín Costa, S/N;22510;Huesca;Binaced;172
2019/2020;Centro público;Colegio Rural Agrupado;22005789;RÍO ARAGÓN;Cl. Mosen José Pardo Aso, 17;22791;Huesca;Santa Cilia;175
2019/2020;Centro público;Colegio Rural Agrupado;22005807;RIBERA DEL CINCA;CL. ARRABAL DEL NORTE, S/N;22590;Huesca;Torrente de Cinca;104
2019/2020;Centro público;Colegio Rural Agrupado;22005819;DE ALTORRICÓN;Cl. Miguel Fleta, 1;22540;Huesca;Altorricón;147
2019/2020;Centro público;Colegio Rural Agrupado;22005820;ARCO IRIS;Cl. Monzón, S/N;22414;Huesca;Monzón;128
2019/2020;Centro público;Colegio Rural Agrupado;22005832;ALBEOS;Cl. Escuelas, 28;22533;Huesca;Belver de Cinca;222
2019/2020;Centro público;Colegio Rural Agrupado;22005844;VIOLADA MONEGROS;Cl. José María Peleato, 18;22240;Huesca;Tardienta;186
2019/2020;Centro público;Colegio Rural Agrupado;22005856;LA SABINA;CL. Canal de Monegros s/n;22252;Huesca;Robres;66
2019/2020;Centro público;Colegio Rural Agrupado;22005868;MONEGROS-HOYA;P.º COMENGE, 42;22214;Huesca;Lalueza;74
2019/2020;Centro público;Colegio Rural Agrupado;22005881;ALTA RIBAGORZA;Avda. De Luchón, S/N;22440;Huesca;Benasque;305
2019/2020;Centro público;Colegio Rural Agrupado;44002541;TERUEL UNO;Cl. Frontón, 6;44163;Teruel;Perales del Alfambra;92
2019/2020;Centro público;Colegio Rural Agrupado;44004471;REGALLO;Cl. Ronda Miraflores, S/N;44660;Teruel;Alcañiz;26
2019/2020;Centro público;Colegio Rural Agrupado;44004483;JAVALAMBRE;Cl. Ingeniero Piqueras, 1;44420;Teruel;Manzanera;117
2019/2020;Centro público;Colegio Rural Agrupado;44004495;SIERRA DE ALBARRACÍN;Cl. Magdalena, 32;44112;Teruel;Tramacastilla;63
2019/2020;Centro público;Colegio Rural Agrupado;44004616;MAESTRAZGO GÚDAR;Cl. El Vall, 16;44410;Teruel;Mosqueruela;77
2019/2020;Centro público;Colegio Rural Agrupado;44004628;TURIA;CL. LA IGLESIA, S/N;44195;Teruel;Teruel;172
2019/2020;Centro público;Colegio Rural Agrupado;44004677;PABLO ANTONIO CRESPO;Cl. Tras De La Iglesia , S/N;44150;Teruel;Aliaga;50
2019/2020;Centro público;Colegio Rural Agrupado;44004689;GOYA;Pza. Escuelas, 3;44350;Teruel;Caminreal;105
2019/2020;Centro público;Colegio Rural Agrupado;44004690;ALTO MAESTRAZGO;Avda. Maestrazgo, 3;44140;Teruel;Cantavieja;133
2019/2020;Centro público;Colegio Rural Agrupado;44004707;SOMONTANO-BAJO ARAGÓN;Cl. Fondus, S/N;44557;Teruel;Mata de los Olmos (La);81
2019/2020;Centro público;Colegio Rural Agrupado;44004719;PALMIRA PLÁ;Cl. Basilio Muñoz, 20-29;44147;Teruel;Cedrillas;91
2019/2020;Centro público;Colegio Rural Agrupado;44004720;ARIÑO-ALLOZA;Cl. Teruel, 10;44547;Teruel;Ariño;72
2019/2020;Centro público;Colegio Rural Agrupado;44004732;OLEA;P.º. De La Mina, 3;44560;Teruel;Castellote;104
2019/2020;Centro público;Colegio Rural Agrupado;44004744;ALIFARA;CL VIRGEN DE GRACIA, 38;44596;Teruel;Fresneda (La);88
2019/2020;Centro público;Colegio Rural Agrupado;44004756;TASTAVÍNS;Cl. SANTIAGO RAMÓN Y CAJAL, 2;44586;Teruel;Peñarroya de Tastavins;81
2019/2020;Centro público;Colegio Rural Agrupado;44004768;DE MARTÍN DEL RÍO;Cl. Baja, 37;44750;Teruel;Martín del Río;35
2019/2020;Centro público;Colegio Rural Agrupado;44004771;DE MUNIESA;Pza. Aragón, 1;44780;Teruel;Muniesa;60
2019/2020;Centro público;Colegio Rural Agrupado;44004781;PÓRTICO DE ARAGÓN;Cl. Pintor Salvador Victoria, 6;44415;Teruel;Rubielos de Mora;123
2019/2020;Centro público;Colegio Rural Agrupado;44004793;DE ALBARRACÍN;CAMI. DE GEA, S/N;44100;Teruel;Albarracín;111
2019/2020;Centro público;Colegio Rural Agrupado;44004801;BAJO MARTÍN;Avda. De La Estación, 2;44511;Teruel;Puebla de Híjar (La);155
2019/2020;Centro público;Colegio Rural Agrupado;44004811;DEL MEZQUÍN;Cl. Mayor Alta, 69;44630;Teruel;Castelserás;154
2019/2020;Centro público;Colegio Rural Agrupado;44005062;MATARRANYA;Avda. De Aragón, 2-4;44610;Teruel;Calaceite;121
2019/2020;Centro público;Colegio Rural Agrupado;44005074;CUNA DEL JILOCA;Cl. España, 10;44360;Teruel;Santa Eulalia;137
2019/2020;Centro público;Colegio Rural Agrupado;44005131;ALGARS;Cl. Jardín De La Corona De Aragón, S/N;44623;Teruel;Cretas;115
2019/2020;Centro público;Colegio Rural Agrupado;44005153;CAMPO BELLO;CL. EL PERILLAN, S/N;44232;Teruel;Bello;16
2019/2020;Centro público;Colegio Rural Agrupado;44005165;ERAS DEL JILOCA;Cl. San Miguel, 26;44392;Teruel;Calamocha;16
2019/2020;Centro público;Colegio Rural Agrupado;44010719;BRONCHALES-ORIHUELA;C/ Subida al Tremedal, 10;44366;Teruel;Orihuela del Tremedal;47
2019/2020;Centro público;Colegio Rural Agrupado;50011124;CUEVAS DEL JALÓN;Cl. Muntadas, 3;50295;Zaragoza;Lumpiaque;175
2019/2020;Centro público;Colegio Rural Agrupado;50011136;EL ENEBRO;Cl. San Roque, 24;50299;Zaragoza;Sabiñán;55
2019/2020;Centro público;Colegio Rural Agrupado;50011148;ARANDA-ISUELA;Cl. Convento, S/N;50257;Zaragoza;Gotor;23
2019/2020;Centro público;Colegio Rural Agrupado;50011151;TRES RIBERAS;Cl. Doctor García Sancho, 7;50340;Zaragoza;Maluenda;123
2019/2020;Centro público;Colegio Rural Agrupado;50011161;RÍO RIBOTA;Avda. Constitución, S/N;50313;Zaragoza;Aniñón;50
2019/2020;Centro público;Colegio Rural Agrupado;50011173;EL MIRADOR;Pza. Mayor, 16;50216;Zaragoza;Villalengua;30
2019/2020;Centro público;Colegio Rural Agrupado;50011185;MESA-PIEDRA-ALTO CAMPILLO;Cl. Puerta De La Aldea, S/N;50236;Zaragoza;Ibdes;78
2019/2020;Centro público;Colegio Rural Agrupado;50011197;CERRO DE SANTA CRUZ;CTRA. DE ATEA, S/N;50374;Zaragoza;Used;16
2019/2020;Centro público;Colegio Rural Agrupado;50011203;L\' ALBARDÍN;Cl. Extramuros, 55-57;50140;Zaragoza;Azuara;52
2019/2020;Centro público;Colegio Rural Agrupado;50011215;MONLORA;Pza. Autonomía, S/N;50611;Zaragoza;Erla;34
2019/2020;Centro público;Colegio Rural Agrupado;50011227;BÉCQUER;CL. Serafín Villarroya Lahoz s/n;50510;Zaragoza;Novallas;112
2019/2020;Centro público;Colegio Rural Agrupado;50011239;ÍNSULA BARATARIA;San Agustín, 6;50640;Zaragoza;Luceni;183
2019/2020;Centro público;Colegio Rural Agrupado;50011240;LUIS BUÑUEL;Cl. Corneta, S/N;50694;Zaragoza;Ejea de los Caballeros;144
2019/2020;Centro público;Colegio Rural Agrupado;50011291;LAS VIÑAS;Afueras s/n;50529;Zaragoza;Fuendejalón;69
2019/2020;Centro público;Colegio Rural Agrupado;50011318;PUERTA DE ARAGÓN;CL. PILAR, 12;50220;Zaragoza;Ariza;133
2019/2020;Centro público;Colegio Rural Agrupado;50011321;L\' ALBADA;Santa Bárbara 3;50177;Zaragoza;Bujaraloz;98
2019/2020;Centro público;Colegio Rural Agrupado;50011331;MARÍA MOLINER;CL. CRISTINA ALBERDI, S/N;50730;Zaragoza;Burgo de Ebro (El);270
2019/2020;Centro público;Colegio Rural Agrupado;50011343;FABARA-NONASPE DOS AGUAS;Avda. La Jota Aragonesa, S/N;50793;Zaragoza;Fabara;138
2019/2020;Centro público;Colegio Rural Agrupado;50011355;DEL EBRO;Cl. Buen Suceso, S/N;50786;Zaragoza;Gelsa;97
2019/2020;Centro público;Colegio Rural Agrupado;50011367;VICORT-ISUELA;Avda. Bardají, 42;50320;Zaragoza;Frasno (El);48
2019/2020;Centro público;Colegio Rural Agrupado;50011379;LA HUECHA;Pza. Aragón, 12;50520;Zaragoza;Magallón;107
2019/2020;Centro público;Colegio Rural Agrupado;50011380;ORBA;Cl. José Antonio Labordeta, 24;50450;Zaragoza;Muel;146
2019/2020;Centro público;Colegio Rural Agrupado;50011392;LA CEPA;Ctra. De Aladrén, S/N;50480;Zaragoza;Paniza;82
2019/2020;Centro público;Colegio Rural Agrupado;50011409;LA SABINA;Avda. Zaragoza, 23;50174;Zaragoza;Villafranca de Ebro;155
2019/2020;Centro público;Colegio Rural Agrupado;50011410;LOS BAÑALES;Avda. General Carlos De Castro, 1;50670;Zaragoza;Sádaba;157
2019/2020;Centro público;Colegio Rural Agrupado;50011422;BAJO GÁLLEGO;AVDA. ZARAGOZA, 84;50160;Zaragoza;Leciñena;162
2019/2020;Centro público;Centro Público Integrado de Formación Profesional;22002491;MONTEARAGÓN;Ctra. De Sariñena, Km. 4;22111;Huesca;Huesca;446
2019/2020;Centro público;Centro Público Integrado de Formación Profesional;22005121;SAN LORENZO;Cl. Madrid, 2;22004;Huesca;Huesca;228
2019/2020;Centro público;Centro Público Integrado de Formación Profesional;22010712;PIRÁMIDE;CAMI. DE CUARTE, S/N;22004;Huesca;Huesca;464
2019/2020;Centro público;Centro Público Integrado de Formación Profesional;44003028;DE SAN BLAS;Bo. San Blas, S/N;44195;Teruel;Teruel;196
2019/2020;Centro público;Centro Público Integrado de Formación Profesional;44010011;ESCUELA DE HOSTELERÍA DE TERUEL;Cl. Mariano Muñoz Nogués, 11-13;44001;Teruel;Teruel;177
2019/2020;Centro público;Centro Público Integrado de Formación Profesional;44010537;BAJO ARAGÓN;Cl. José Pardo Sastrón, 1;0000;Teruel;Alcañiz;474
2019/2020;Centro público;Centro Público Integrado de Formación Profesional;50005690;DE MOVERA;Ctra. Pastriz, Km. 3,6;50194;Zaragoza;Zaragoza;406
2019/2020;Centro público;Centro Público Integrado de Formación Profesional;50010314;LOS ENLACES;Cl. Jarque De Moncayo, 10;50012;Zaragoza;Zaragoza;1.618
2019/2020;Centro público;Centro Público Integrado de Formación Profesional;50018829;CORONA DE ARAGÓN;Corona de Aragón, 35;50009;Zaragoza;Zaragoza;1.288
2019/2020;Centro público;Conservatorio Municipal Profesional de Música;22010906;DE FRAGA;PS BARRÓN GENGONYER, 7;22520;Huesca;Fraga;10
2019/2020;Centro público;Guardería del Gobierno de Aragón;22600060;LA PAZ;CL. MIGUEL FLETA, 3;22300;Huesca;Barbastro;96
2019/2020;Centro público;Guardería del Gobierno de Aragón;22600072;NUESTRA SEÑORA DE SAN LORENZO;CL. Ramón J. Sender nº 19;22006;Huesca;Huesca;83
2019/2020;Centro público;Guardería del Gobierno de Aragón;22600084;NUESTRA SEÑORA DE LA ALEGRÍA;Avda. del Pueyo, 78;22400;Huesca;Monzón;66
2019/2020;Centro público;Guardería del Gobierno de Aragón;44600021;SANTO ÁNGEL CUSTODIO;Avda. Aragón, s/n;44600;Teruel;Alcañiz;92
2019/2020;Centro público;Guardería del Gobierno de Aragón;50600105;NUESTRA SEÑORA DEL CARMEN;CL. Ramón y Cajal, s/n;50300;Zaragoza;Calatayud;100
2019/2020;Centro público;Guardería del Gobierno de Aragón;50600117;VIRGEN DE LA OLIVA;CL. Tauste, 28;50600;Zaragoza;Ejea de los Caballeros;66
2019/2020;Centro público;Guardería del Gobierno de Aragón;50600129;SAN ANTONIO DE PADUA;CL. Colón, 4;50650;Zaragoza;Gallur;24
2019/2020;Centro público;Guardería del Gobierno de Aragón;50600130;ARAGÓN;CL. Pablo Parellada, 46;50007;Zaragoza;Zaragoza;72
2019/2020;Centro público;Guardería del Gobierno de Aragón;50600142;INMACULADA CONCEPCIÓN;Avda. Manuel Rodríguez Ayuso 45;50012;Zaragoza;Zaragoza;101
2019/2020;Centro público;Guardería del Gobierno de Aragón;50600154;MONSALUD;CL. Ramiro I de Aragón, s/n;50017;Zaragoza;Zaragoza;101
2019/2020;Centro público;Guardería del Gobierno de Aragón;50600166;SANTA MARÍA DEL PILAR;CL. José Pellicer, 2;50007;Zaragoza;Zaragoza;90
2019/2020;Centro público;Centro Docente de Formación Militar;50001180;ACADEMIA DE LOGÍSTICA DEL EJÉRCITO DE TIERRA;AVDA. DE LAS FUERZAS ARMADAS, S/N;50300;Zaragoza;Calatayud;609
2019/2020;Centro privado;Centro Privado de Educación Infantil;22002405;SAN JOSÉ;Cl. Pedro Iv, 81;22002;Huesca;Huesca;116
2019/2020;Centro privado;Centro Privado de Educación Infantil;22006061;PATI;Avda. Mequinenza, S/N;22520;Huesca;Fraga;33
2019/2020;Centro privado;Centro Privado de Educación Infantil;22010050;LAS OCAS;Cl. Miguel Servet, 9;22002;Huesca;Huesca;14
2019/2020;Centro privado;Centro Privado de Educación Infantil;22010074;CLUB MINNIE;Cl. Travesía Ballesteros, 23;22001;Huesca;Huesca;50
2019/2020;Centro privado;Centro Privado de Educación Infantil;22010189;PARCHÍS;Cl. Ramón J. Sender, 13;22001;Huesca;Huesca;29
2019/2020;Centro privado;Centro Privado de Educación Infantil;22010219;PASITO A PASO;CL. DOCTOR ARTERO, 17;22004;Huesca;Huesca;33
2019/2020;Centro privado;Centro Privado de Educación Infantil;22010220;ZIMBEL;CL. TERUEL, 5;22005;Huesca;Huesca;64
2019/2020;Centro privado;Centro Privado de Educación Infantil;22010256;ENCANTARIA;CL. RAMÓN Y CAJAL, 1;22300;Huesca;Barbastro;34
2019/2020;Centro privado;Centro Privado de Educación Infantil;22010396;KID\'S GARDEN HUESCA;CL. CALATAYUD, 31 BAJOS;22005;Huesca;Huesca;74
2019/2020;Centro privado;Centro Privado de Educación Infantil;22010441;ALBADA;CL. MARÍA MOLINER S/N;22004;Huesca;Huesca;22
2019/2020;Centro privado;Centro Privado de Educación Infantil;22010864;COTONET;Cl. Valle de Tena, 14;22520;Huesca;Fraga;39
2019/2020;Centro privado;Centro Privado de Educación Infantil;44010094;DUMBO;CL. SAN DAMIÁN, 5;44003;Teruel;Teruel;22
2019/2020;Centro privado;Centro Privado de Educación Infantil;44010161;SOLETES;PZA. PAOLA BLASCO, 14;44600;Teruel;Alcañiz;45
2019/2020;Centro privado;Centro Privado de Educación Infantil;44010318;MAFALDA-LAS VIÑAS;CAMINO CAPUCHINOS, 1;44003;Teruel;Teruel;19
2019/2020;Centro privado;Centro Privado de Educación Infantil;44010653;SNOOPY;CL. TENOR MARÍN, 6-A;44002;Teruel;Teruel;27
2019/2020;Centro privado;Centro Privado de Educación Infantil;44010689;GAG CU CU-TRAS TRAS;Camino Castralvo 34, Bajo;44002;Teruel;Teruel;92
2019/2020;Centro privado;Centro Privado de Educación Infantil;44010756;INFANTIL 0-3 LA PURÍSIMA MONTESSORI;Ronda de Ambeles, 56;44001;Teruel;Teruel;20
2019/2020;Centro privado;Centro Privado de Educación Infantil;50000734;SAN RAFAEL;Cl. San Ramón, 21;50130;Zaragoza;Belchite;18
2019/2020;Centro privado;Centro Privado de Educación Infantil;50006670;LENGUATRAPO;Cl. San Juan De La Peña, 181- Bloque 25;50015;Zaragoza;Zaragoza;12
2019/2020;Centro privado;Centro Privado de Educación Infantil;50006682;DIVINA PASTORA;Cl. Maestro Estremiana, 31-33;50006;Zaragoza;Zaragoza;30
2019/2020;Centro privado;Centro Privado de Educación Infantil;50006931;JESÚS REPARADOR;Cl. Sancho Y Gil, 6;50001;Zaragoza;Zaragoza;40
2019/2020;Centro privado;Centro Privado de Educación Infantil;50007613;BOSQUE TERNURA;Vía Hispanidad, 117;50011;Zaragoza;Zaragoza;96
2019/2020;Centro privado;Centro Privado de Educación Infantil;50009142;HEIDI;Cl. Martín Abanto, 12;50013;Zaragoza;Zaragoza;16
2019/2020;Centro privado;Centro Privado de Educación Infantil;50011628;TIC TAC;Cl. Pedro Arnal Cavero, 30;50014;Zaragoza;Zaragoza;38
2019/2020;Centro privado;Centro Privado de Educación Infantil;50011756;PELUCHE;Cl. Pedro Cerbuna, 41;50009;Zaragoza;Zaragoza;41
2019/2020;Centro privado;Centro Privado de Educación Infantil;50011771;GARRAPINIÑOS;Cl. Barón De La Linde, 14;50190;Zaragoza;Zaragoza;17
2019/2020;Centro privado;Centro Privado de Educación Infantil;50017001;ANDARINES;Cl. Matías Pastor Sancho, 2 , Blo. 4-5;50015;Zaragoza;Zaragoza;31
2019/2020;Centro privado;Centro Privado de Educación Infantil;50017011;EDUCANDO;Cl. Río Cinca, 35;50003;Zaragoza;Zaragoza;41
2019/2020;Centro privado;Centro Privado de Educación Infantil;50017084;PEQUEAYUD;Cl. Fernández Ardavín, 3;50300;Zaragoza;Calatayud;29
2019/2020;Centro privado;Centro Privado de Educación Infantil;50017163;FUNDACIÓN EL REFUGIO;Cl. Crespo De Agüero, 1;50004;Zaragoza;Zaragoza;53
2019/2020;Centro privado;Centro Privado de Educación Infantil;50017175;NTRA. SRA. DE LOS DOLORES;Cl. Privilegio De La Unión, 39;50013;Zaragoza;Zaragoza;62
2019/2020;Centro privado;Centro Privado de Educación Infantil;50017205;NUESTRA SEÑORA DE LA ROSA;CL. SANTIAGO CASTILLO, 11;50620;Zaragoza;Zaragoza;26
2019/2020;Centro privado;Centro Privado de Educación Infantil;50017217;ALDEAS INFANTILES SOS DE ESPAÑA;Cami. Del Molino, 100;50162;Zaragoza;Villamayor de Gállego;36
2019/2020;Centro privado;Centro Privado de Educación Infantil;50017229;BOLANDRINA;Cl. Refugio, 9, Local;50001;Zaragoza;Zaragoza;29
2019/2020;Centro privado;Centro Privado de Educación Infantil;50017242;EL CARMEN;CL. DOCTOR FLEMING, 15 BAJO;50004;Zaragoza;Zaragoza;41
